id,munin,vereda,longitud,latitud,tipo_fuente,equi_control,tipo_activ,proceso,nseguim,fecha_otro,fecha_ven,vigente,cont_evaluad,tipo_comb,alt_ptemi,diam_ptem,estudio,tit_minero,observacion,Coordenadas
1,Miraflores,Miraflores,-73.12896111,5.18630556,Puntual,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.12896111 5.18630556)
2,Miraflores,Rusita,-73.17755556,5.22967778,1,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.17755556 5.22967778)
3,Samaca,Loma Redonda,-73.58503056,5.44802222,Centro De Acopio,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.58503056 5.44802222)
4,Pesca,Carbonera,-73.10144722,5.45523333,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.10144722 5.45523333)
5,Samaca,Loma Redonda,-73.56894444,5.45606389,1,NA,NA,NA,5,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.56894444 5.45606389)
6,Samaca,Paramo,-73.47614444,5.45875556,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.47614444 5.45875556)
7,Samaca,Loma Redonda,-73.56491667,5.45888333,1,NA,NA,NA,2,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.56491667 5.45888333)
8,Samaca,Loma Redonda,-73.56423889,5.46014722,1,NA,NA,NA,2,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.56423889 5.46014722)
9,Samaca,Loma Redonda,-73.56281389,5.46039167,1,NA,NA,NA,2,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.56281389 5.46039167)
10,Samaca,La Chorrera,-73.54764722,5.468525,Puntual,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.54764722 5.468525)
11,Samaca,Salamanca,-73.51988889,5.46953889,1,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.51988889 5.46953889)
12,Samaca,La Chorrera,-73.54915278,5.47012778,Puntual,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.54915278 5.47012778)
13,Samaca,La Chorrera,-73.55383611,5.471,Puntual,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.55383611 5.471)
14,Samaca,Loma Redonda,-73.55186667,5.471025,Hornos,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.55186667 5.471025)
15,Samaca,La Chorrera,-73.52940833,5.47152778,Puntual,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.52940833 5.47152778)
16,Samaca,Loma Redonda,-73.55080278,5.47201944,Hornos,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.55080278 5.47201944)
17,Samaca,La Chorrera,-73.54153611,5.47225278,Puntual,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.54153611 5.47225278)
18,Samaca,Loma Redonda,-73.55276111,5.47255278,Hornos,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.55276111 5.47255278)
19,Samaca,La Chorrera,-73.54281389,5.47331389,1,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.54281389 5.47331389)
20,Samaca,Salamanca,-73.52034167,5.47803056,Puntual,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.52034167 5.47803056)
21,Samaca,Salamanca,-73.51322222,5.47880278,1,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.51322222 5.47880278)
22,Samaca,Pataguy,-73.50515278,5.4796,1,NA,NA,NA,3,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.50515278 5.4796)
23,Samaca,Chorrera Alto,-73.48834722,5.49331944,1,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.48834722 5.49331944)
24,Tunja,Chorro Blanco,-73.357375,5.49568056,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo; No Concuerda Con El Siux,POINT (-73.357375 5.49568056)
25,Siachoque,Firaya,-73.23559444,5.50668611,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.23559444 5.50668611)
26,Tunja,Centro,-73.36906111,5.51048611,NA,NA,NA,NA,2,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.36906111 5.51048611)
27,Siachoque,Cormechoque Arriba,-73.17215556,5.51455833,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo; No Concuerda Con El Siux,POINT (-73.17215556 5.51455833)
28,Cucaita,Chipacata,-73.46221389,5.52871944,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo; No Concuerda Con El Siux,POINT (-73.46221389 5.52871944)
29,Tunja,Pirgua,-73.34127778,5.52975833,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.34127778 5.52975833)
30,Tunja,Pirgua,-73.33422222,5.53061667,Chimenea,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.33422222 5.53061667)
31,Muzo,La Canada,-74.12135,5.532925,NA,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-74.12135 5.532925)
32,Chivata,Ricaya,-73.29543889,5.53476111,1,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.29543889 5.53476111)
33,Tunja,Centro,-73.36246944,5.5352,1,NA,NA,NA,0,,,NA,NA,NA,,,NA,NA,Expediente Activo,POINT (-73.36246944 5.5352)
